Question,Answer,Explanation,Steps,Digit,Grade
বাংলাদেশে মেট্রিক পদ্ধতি চালু হয় কত সালে,১ জুলাই ১৯৮২,বাংলাদেশে মেট্রিক পদ্ধতি চালু হয় কত সালে,1,4,Eight
বর্গের পরিসীমার সূত্র কী,৪ × এক বাহুর দৈর্ঘ্য,বর্গের পরিসীমার সূত্র কী,1,1,Eight
১ নটিকেল মাইল ১ মাইল থেকে কত ফুট বেশি,৮০০ ফুট,১ নটিকেল মাইল ১ মাইল থেকে কত ফুট বেশি,2,3,Eight
১ মেট্রিক টন সমান কত কিলোগ্রাম,১০০০ কিলোগ্রাম,১ মেট্রিক টন সমান কত কিলোগ্রাম,1,4,Eight
১ বর্গগজ সমান কত বর্গমিটার,০.৮৪ বর্গমিটার (প্রায়),১ বর্গগজ সমান কত বর্গমিটার,1,2,Eight
১ একর সমান কত বর্গমিটার,৪০৪৬.৮৬ বর্গমিটার (প্রায়),১ একর সমান কত বর্গমিটার,1,5,Eight
একটি আয়তাকার ঘরের দৈর্ঘ্য প্রস্থ অপেক্ষা ৪ মিটার বেশি এবং পরিসীমা ৩২ মিটার হলে দৈর্ঘ্য কত,১০ মিটার,একটি আয়তাকার ঘরের দৈর্ঘ্য প্রস্থ অপেক্ষা ৪ মিটার বেশি এবং পরিসীমা ৩২ মিটার হলে দৈর্ঘ্য কত,3,2,Eight
একটি আয়তক্ষেত্রের দৈর্ঘ্য ৫ মিটার ও প্রস্থ ২ মিটার হলে এর পরিসীমা কত,১৪ মিটার,একটি আয়তক্ষেত্রের দৈর্ঘ্য ৫ মিটার ও প্রস্থ ২ মিটার হলে এর পরিসীমা কত,1,1,Eight
একটি আয়তাকার ঘরের দৈর্ঘ্য প্রস্থের দেড়গুণ এবং ক্ষেত্রফল ২১৬ বর্গমিটার হলে প্রস্থ কত,১২ মিটার,একটি আয়তাকার ঘরের দৈর্ঘ্য প্রস্থের দেড়গুণ এবং ক্ষেত্রফল ২১৬ বর্গমিটার হলে প্রস্থ কত,3,3,Eight
একটি বর্গক্ষেত্রের এক বাহুর দৈর্ঘ্য ৪ মিটার হলে কর্ণের দৈর্ঘ্য কত,৪√২ মিটার,একটি বর্গক্ষেত্রের এক বাহুর দৈর্ঘ্য ৪ মিটার হলে কর্ণের দৈর্ঘ্য কত,2,1,Eight
আয়তন পরিমাপের একক কোনটি,লিটার,আয়তন পরিমাপের একক কোনটি,1,1,Eight
একটি বইয়ের পৃষ্ঠা সংখ্যা ২০০ এবং প্রতি পাতার পুরুত্ব ০.১ মিলিমিটার হলে বইটির আয়তন কত যদি দৈর্ঘ্য ২৫ সেমি ও প্রস্থ ১৮ সেমি হয়,৪৫০ ঘন সেমি,একটি বইয়ের পৃষ্ঠা সংখ্যা ২০০ এবং প্রতি পাতার পুরুত্ব ০.১ মিলিমিটার হলে বইটির আয়তন কত যদি দৈর্ঘ্য ২৫ সেমি ও প্রস্থ ১৮ সেমি হয়,3,3,Eight
একটি ছোট বাক্সের আয়তন কত হবে যার দৈর্ঘ্য ১৫ সেমি প্রস্থ ৭ সেমি ও উচ্চতা ৫ সেমি,৫২৫ ঘন সেমি,একটি ছোট বাক্সের আয়তন কত হবে যার দৈর্ঘ্য ১৫ সেমি প্রস্থ ৭ সেমি ও উচ্চতা ৫ সেমি,3,2,Eight
একটি বর্গের বাহুর দৈর্ঘ্য ৫ মিটার হলে এর ক্ষেত্রফল ও পরিসীমা কত,ক্ষেত্রফল ২৫ বর্গমিটার ও পরিসীমা ২০ মিটার,একটি বর্গের বাহুর দৈর্ঘ্য ৫ মিটার হলে এর ক্ষেত্রফল ও পরিসীমা কত,2,1,Eight
একটি আয়তাকার ক্ষেত্রের পরিসীমা ৩৪ মিটার এবং ক্ষেত্রফল ৬০ বর্গমিটার হলে কর্ণের দৈর্ঘ্য কত,১৩ মিটার,একটি আয়তাকার ক্ষেত্রের পরিসীমা ৩৪ মিটার এবং ক্ষেত্রফল ৬০ বর্গমিটার হলে কর্ণের দৈর্ঘ্য কত,3,2,Eight
একটি চৌবাচ্চার আয়তন ৯ ঘনমিটার এবং দৈর্ঘ্য ৩ মিটার ও প্রস্থ ২ মিটার হলে এর উচ্চতা কত,১.৫ মিটার,একটি চৌবাচ্চার আয়তন ৯ ঘনমিটার এবং দৈর্ঘ্য ৩ মিটার ও প্রস্থ ২ মিটার হলে এর উচ্চতা কত,3,1,Eight
১ কাঠা সমান কত বর্গফুট,৭২০ বর্গফুট,১ কাঠা সমান কত বর্গফুট,1,3,Eight
১ ইঞ্চি সমান কত সেন্টিমিটার (প্রায়),২.৫৪ সেমি,১ ইঞ্চি সমান কত সেন্টিমিটার (প্রায়),1,1,Eight
১ গজ সমান কত মিটার (প্রায়),০.৯১৪৪ মিটার,১ গজ সমান কত মিটার (প্রায়),1,1,Eight
১ কিলোমিটার সমান কত মিটার,১০০০ মিটার,১ কিলোমিটার সমান কত মিটার,1,4,Eight
একটি গণিত বইয়ের দৈর্ঘ্য ১১ ইঞ্চি ও প্রস্থ ৯ ইঞ্চি এবং পুরুত্ব ১ সেমি হলে এর আয়তন কত,৬৩৮.৭১ ঘন সেমি (প্রায়),একটি গণিত বইয়ের দৈর্ঘ্য ১১ ইঞ্চি ও প্রস্থ ৯ ইঞ্চি এবং পুরুত্ব ১ সেমি হলে এর আয়তন কত,3,3,Eight
একটি আয়তাকার পার্কের ক্ষেত্রফল কত যার দৈর্ঘ্য ৪০ মিটার এবং প্রস্থ ৩০ মিটার,১২০০ এয়র,একটি আয়তাকার পার্কের ক্ষেত্রফল কত যার দৈর্ঘ্য ৪০ মিটার এবং প্রস্থ ৩০ মিটার,2,2,Eight
রাস্তার ক্ষেত্রফল কত যদি পার্কের বাইরে চারদিকে ২.৫ মিটার বিস্তৃত রাস্তা থাকে,৩৭৫ বর্গমিটার,রাস্তার ক্ষেত্রফল কত যদি পার্কের বাইরে চারদিকে ২.৫ মিটার বিস্তৃত রাস্তা থাকে,3,3,Eight
একটি বর্গাকার বাগানের ক্ষেত্রফল ২২৫ বর্গমিটার হলে এর পরিসীমা কত,৬০ মিটার,একটি বর্গাকার বাগানের ক্ষেত্রফল ২২৫ বর্গমিটার হলে এর পরিসীমা কত,2,3,Eight
একটি খোলা চৌবাচ্চার আয়তন ১৪ ঘনমিটার হলে এতে কত কেজি পানি ধরে,১৪০০০ কেজি,একটি খোলা চৌবাচ্চার আয়তন ১৪ ঘনমিটার হলে এতে কত কেজি পানি ধরে,2,2,Eight
একটি আয়তাকার বাগানের দৈর্ঘ্য ৪০ মিটার এবং প্রস্থ ৩০ মিটার। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৩৮৪ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৪০ মিটার এবং প্রস্থ ৩০ মিটার। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,3,3,Eight
একটি আয়তাকার মাঠের বাইরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি মাঠের দৈর্ঘ্য ৫০ মিটার ও প্রস্থ ২০ মিটার হয়,৪৫৬ বর্গমিটার,একটি আয়তাকার মাঠের বাইরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি মাঠের দৈর্ঘ্য ৫০ মিটার ও প্রস্থ ২০ মিটার হয়,3,3,Eight
একটি আয়তাকার বাগানের কর্ণ কত মিটার যার ক্ষেত্রফল ৫৭৬ বর্গমিটার এবং দৈর্ঘ্য ৩৬ মিটার,৩৯.৪ মিটার (প্রায়),একটি আয়তাকার বাগানের কর্ণ কত মিটার যার ক্ষেত্রফল ৫৭৬ বর্গমিটার এবং দৈর্ঘ্য ৩৬ মিটার,3,3,Eight
একটি ঘনকাকৃতি ট্যাঙ্কের এক বাহুর দৈর্ঘ্য ৪ মিটার হলে ট্যাঙ্কটিতে কত কেজি পানি ধরবে,৬৪০০০ কেজি,একটি ঘনকাকৃতি ট্যাঙ্কের এক বাহুর দৈর্ঘ্য ৪ মিটার হলে ট্যাঙ্কটিতে কত কেজি পানি ধরবে,2,3,Eight
একটি সোনার বারের আয়তন কত যার দৈর্ঘ্য ৬ সেমি প্রস্থ ৫ সেমি ও উচ্চতা ২ সেমি,৬০ ঘন সেমি,একটি সোনার বারের আয়তন কত যার দৈর্ঘ্য ৬ সেমি প্রস্থ ৫ সেমি ও উচ্চতা ২ সেমি,3,1,Eight
সোনার বারটির ওজন কত যদি সোনা পানির তুলনায় ১৯.৩ গুণ ভারী হয়,১.১৬ কেজি (প্রায়),সোনার বারটির ওজন কত যদি সোনা পানির তুলনায় ১৯.৩ গুণ ভারী হয়,2,3,Eight
একটি আয়তক্ষেত্রের ক্ষেত্রফল ২৪০ বর্গসেমি এবং দৈর্ঘ্য ২০ সেমি হলে এর পরিসীমা কত,৬৪ সেমি,একটি আয়তক্ষেত্রের ক্ষেত্রফল ২৪০ বর্গসেমি এবং দৈর্ঘ্য ২০ সেমি হলে এর পরিসীমা কত,3,3,Eight
একটি খোলা জলাধারের সমগ্রতলের ক্ষেত্রফল কত যার দৈর্ঘ্য ২.৫ মিটার প্রস্থ ২ মিটার এবং উচ্চতা ১ মিটার,১৪ বর্গমিটার,একটি খোলা জলাধারের সমগ্রতলের ক্ষেত্রফল কত যার দৈর্ঘ্য ২.৫ মিটার প্রস্থ ২ মিটার এবং উচ্চতা ১ মিটার,3,1,Eight
একটি আয়তাকার বাগানের দৈর্ঘ্য ৩০ মিটার ও প্রস্থ ২০ মিটার। এর ভিতরে ৪ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,২৬৪ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৩০ মিটার ও প্রস্থ ২০ মিটার। এর ভিতরে ৪ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,3,3,Eight
একটি আয়তক্ষেত্রের ক্ষেত্রফল ৪৩২ বর্গমিটার এবং দৈর্ঘ্য প্রস্থের তিনগুণ হলে পরিসীমা কত,৯৬ মিটার,একটি আয়তক্ষেত্রের ক্ষেত্রফল ৪৩২ বর্গমিটার এবং দৈর্ঘ্য প্রস্থের তিনগুণ হলে পরিসীমা কত,3,3,Eight
একটি আয়তাকার ঘরের মেঝের ক্ষেত্রফল কত যার দৈর্ঘ্য প্রস্থ অপেক্ষা ৫ মিটার বেশি এবং পরিসীমা ৭০ মিটার,৩০০ বর্গমিটার,একটি আয়তাকার ঘরের মেঝের ক্ষেত্রফল কত যার দৈর্ঘ্য প্রস্থ অপেক্ষা ৫ মিটার বেশি এবং পরিসীমা ৭০ মিটার,3,3,Eight
একটি চৌবাচ্চার গভীরতা কত সেমি যার আয়তন ৮০০০ লিটার এবং তলার ক্ষেত্রফল ৩.২ বর্গমিটার,২৫০ সেমি,একটি চৌবাচ্চার গভীরতা কত সেমি যার আয়তন ৮০০০ লিটার এবং তলার ক্ষেত্রফল ৩.২ বর্গমিটার,2,4,Eight
একটি সোনার বারের আয়তন কত ঘন সেমি যার দৈর্ঘ্য ৪ সেমি প্রস্থ ৩ সেমি এবং উচ্চতা ১ সেমি,১২ ঘন সেমি,একটি সোনার বারের আয়তন কত ঘন সেমি যার দৈর্ঘ্য ৪ সেমি প্রস্থ ৩ সেমি এবং উচ্চতা ১ সেমি,2,1,Eight
ওজন পরিমাপের আন্তর্জাতিক একক কী,কিলোগ্রাম,ওজন পরিমাপের আন্তর্জাতিক একক কী,1,1,Eight
দৈর্ঘ্য পরিমাপের আন্তর্জাতিক একক কী,মিটার,দৈর্ঘ্য পরিমাপের আন্তর্জাতিক একক কী,1,1,Eight
বীজগণিতীয় সূত্রাবলি ব্যবহার করে কী করা যায়,বিভিন্ন গাণিতিক রাশিকে সহজে সাধারণ আকারে রূপান্তর করা যায়,বীজগণিতীয় সূত্রাবলি ব্যবহার করে কী করা যায়,1,1,Eight
ডায়োফ্যান্টাস কে ছিলেন,একজন গ্রিক গণিতবিদ,ডায়োফ্যান্টাস কে ছিলেন,1,1,Eight
2a+5b এর বর্গ কত,4a²+20ab+25b²,2a+5b এর বর্গ কত,2,1,Eight
4x-7 এর বর্গ কত,16x²-56x+49,4x-7 এর বর্গ কত,2,1,Eight
a+b=7 এবং ab=9 হলে a²+b² এর মান কত,31,a+b=7 এবং ab=9 হলে a²+b² এর মান কত,2,2,Eight
x-y=5 এবং xy=6 হলে (x+y)² এর মান কত,49,x-y=5 এবং xy=6 হলে (x+y)² এর মান কত,2,2,Eight
সূত্রের সাহায্যে 5x+7y ও 5x-7y এর গুণফল কত,25x²-49y²,সূত্রের সাহায্যে 5x+7y ও 5x-7y এর গুণফল কত,2,2,Eight
ax+by+c এর বর্গ কত,a²x²+b²y²+c²+2abxy+2bcy+2acx,ax+by+c এর বর্গ কত,2,1,Eight
5a+7b এর বর্গ নির্ণয় কর,25a²+70ab+49b²,5a+7b এর বর্গ নির্ণয় কর,2,1,Eight
6x+3 এর বর্গ কত,36x²+36x+9,6x+3 এর বর্গ কত,2,1,Eight
7p-2q এর বর্গ নির্ণয় কর,49p²-28pq+4q²,7p-2q এর বর্গ নির্ণয় কর,2,1,Eight
ax-by এর বর্গ কত,a²x²-2abxy+b²y²,ax-by এর বর্গ কত,2,1,Eight
x³+xy এর বর্গ কত,x⁶+2x⁴y+x²y²,x³+xy এর বর্গ কত,3,2,Eight
11a-12b এর বর্গ নির্ণয় কর,121a²-264ab+144b²,11a-12b এর বর্গ নির্ণয় কর,2,2,Eight
6x²y-5xy² এর বর্গ কত,36x⁴y²-60x³y³+25x²y⁴,6x²y-5xy² এর বর্গ কত,3,2,Eight
-x-y এর বর্গ কত,x²+2xy+y²,-x-y এর বর্গ কত,2,1,Eight
-xyz-abc এর বর্গ কত,x²y²z²+2abcxyz+a²b²c²,-xyz-abc এর বর্গ কত,3,2,Eight
a²x³-b²y⁴ এর বর্গ নির্ণয় কর,a⁴x⁶-2a²b²x³y⁴+b⁴y⁸,a²x³-b²y⁴ এর বর্গ নির্ণয় কর,3,2,Eight
108 এর বর্গ কত,11664,109 এর বর্গ কত,2,3,Eight
606 এর বর্গ কত,367236,607 এর বর্গ কত,2,3,Eight
597 এর বর্গ কত,356409,598 এর বর্গ কত,2,3,Eight
a-b+c এর বর্গ নির্ণয় কর,a²+b²+c²-2ab-2bc+2ca,a-b+c এর বর্গ নির্ণয় কর,3,2,Eight
ax+b+2 এর বর্গ কত,a²x²+b²+4+2abx+4b+4ax,ax+b+2 এর বর্গ কত,2,2,Eight
xy+yz-zx এর বর্গ নির্ণয় কর,x²y²+y²z²+z²x²+2xy²z-2xyz²-2x²yz,xy+yz-zx এর বর্গ নির্ণয় কর,3,2,Eight
3p+2q-5r এর বর্গ কত,9p²+4q²+25r²+12pq-20qr-30pr,3p+2q-5r এর বর্গ কত,3,2,Eight
x²-y²+z² এর বর্গ নির্ণয় কর,x⁴+y⁴+z⁴-2x²y²-2y²z²+2z²x²,x²-y²+z² এর বর্গ নির্ণয় কর,3,2,Eight
7a²+8b²-5c² এর বর্গ কত,49a⁴+64b⁴+25c⁴+112a²b²-80b²c²-70c²a²,7a²+8b²-5c² এর বর্গ কত,3,2,Eight
(x+y)²+2(x+y)(x-y)+(x-y)² কে সরল কর,4x²,(x+y)²+2(x+y)(x-y)+(x-y)² কে সরল কর,2,1,Eight
(2a+3b)²-2(2a+3b)(3b-a)+(3b-a)² কে সরল কর,9a²,(2a+3b)²-2(2a+3b)(3b-a)+(3b-a)² কে সরল কর,3,2,Eight
(8x+y)²-(16x+2y)(5x+y)+(5x+y)² কে সরল কর,9x²,(8x+y)²-(16x+2y)(5x+y)+(5x+y)² কে সরল কর,3,2,Eight
a=4 b=6 c=3 হলে 4a²b²-16ab²c+16b²c² এর মান কত,576,a=4 b=6 c=3 হলে 4a²b²-16ab²c+16b²c² এর মান কত,3,2,Eight
x-1/x=3 হলে x²+1/x² এর মান কত,11,x-1/x=3 হলে x²+1/x² এর মান কত,2,1,Eight
a+1/a=4 হলে a⁴+1/a⁴ এর মান কত,194,a+1/a=4 হলে a⁴+1/a⁴ এর মান কত,3,2,Eight
m=6 n=7 হলে 16(m²+n²)²+56(m²+n²)(3m²-2n²)+49(3m²-2n²)² এর মান কত,168100,m=6 n=7 হলে 16(m²+n²)²+56(m²+n²)(3m²-2n²)+49(3m²-2n²)² এর মান কত,4,3,Eight
a-1/a=m হলে a⁴+1/a⁴ এর মান কত,m⁴+4m²+2,a-1/a=m হলে a⁴+1/a⁴ এর মান কত,3,2,Eight
x-1/x=4 হলে x²+1/x² এর মান কত,18,x-1/x=4 হলে x²+1/x² এর মান কত,2,1,Eight
m+1/m=2 হলে m⁴+1/a⁴ এর মান কত,2,m+1/m=2 হলে m⁴+1/a⁴ এর মান কত,3,2,Eight
(x+7)(x-7) এর গুণফল কত,x²-49,(x+7)(x-7) এর গুণফল কত,1,2,Eight
(5x+13)(5x-13) এর গুণফল কত,25x²-169,(5x+13)(5x-13) এর গুণফল কত,1,3,Eight
(xy+yz)(xy-yz) এর গুণফল কত,x²y²-y²z²,(xy+yz)(xy-yz) এর গুণফল কত,2,2,Eight
(ax+b)(ax-b) এর গুণফল কত,a²x²-b²,(ax+b)(ax-b) এর গুণফল কত,1,2,Eight
(a+3)(a+4) এর গুণফল কত,a²+7a+12,(a+3)(a+4) এর গুণফল কত,2,1,Eight
(ax+3)(ax+4) এর গুণফল কত,a²x²+7ax+12,(ax+3)(ax+4) এর গুণফল কত,3,2,Eight
(6x+17)(6x-13) এর গুণফল কত,36x²+24x-221,(6x+17)(6x-13) এর গুণফল কত,2,3,Eight
(a²-b²)(a²+b²)(a⁴+b⁴) এর গুণফল কত,a⁸-b⁸,(a²-b²)(a²+b²)(a⁴+b⁴) এর গুণফল কত,3,3,Eight
(ax-by+cz)(ax+by-cz) এর গুণফল কত,a²x²-b²y²-c²z²+2bcyz,(ax-by+cz)(ax+by-cz) এর গুণফল কত,3,3,Eight
(3a-10)(3a-5) এর গুণফল কত,9a²-45a+50,(3a-10)(3a-5) এর গুণফল কত,2,2,Eight
(5a+2b-3c)(5a+2b+3c) এর গুণফল কত,25a²+4b²+20ab-9c²,(5a+2b-3c)(5a+2b+3c) এর গুণফল কত,3,2,Eight
a+b=8 ab=15 হলে a³+b³ এর মান কত,152,a+b=8 ab=15 হলে a³+b³ এর মান কত,3,2,Eight
x+y=2 হলে x³+y³+6xy এর মান কত,8,x+y=2 হলে x³+y³+6xy এর মান কত,2,1,Eight
2x+3y=13 xy=6 হলে 8x³+27y³ এর মান কত,793,2x+3y=13 xy=6 হলে 8x³+27y³ এর মান কত,3,2,Eight
p-q=5 pq=3 হলে p³-q³ এর মান কত,170,p-q=5 pq=3 হলে p³-q³ এর মান কত,3,2,Eight
x-2y=3 হলে x³-8y³-18xy এর মান কত,27,x-2y=3 হলে x³-8y³-18xy এর মান কত,3,2,Eight
4x-3=5 হলে 64x³-27-180x এর মান কত,125,4x-3=5 হলে 64x³-27-180x এর মান কত,3,2,Eight
a=7 হলে a³+6a²+12a+1 এর মান কত,722,a=7 হলে a³+6a²+12a+1 এর মান কত,2,2,Eight
x=5 হলে x³-12x²+48x-64 এর মান কত,1,x=5 হলে x³-12x²+48x-64 এর মান কত,2,2,Eight
a²+b²=c² হলে a⁶+b⁶+3a²b²c² এর মান কত,c⁶,a²+b²=c² হলে a⁶+b⁶+3a²b²c² এর মান কত,3,2,Eight
x+1/x=4 হলে x³+1/x³ এর মান কত,52,x+1/x=4 হলে x³+1/x³ এর মান কত,3,1,Eight
a-1/a=5 হলে a³-1/a³ এর মান কত,140,a-1/a=5 হলে a³-1/a³ এর মান কত,3,1,Eight
(a²+b²)(a⁴-a²b²+b⁴) এর গুণফল কত,a⁶+b⁶,(a²+b²)(a⁴-a²b²+b⁴) এর গুণফল কত,2,2,Eight
(ax-by)(a²x²+abxy+b²y²) এর গুণফল কত,a³x³-b³y³,(ax-by)(a²x²+abxy+b²y²) এর গুণফল কত,3,2,Eight
(2ab²-1)(4a²b⁴+2ab²+1) এর গুণফল কত,8a³b⁶-1,(2ab²-1)(4a²b⁴+2ab²+1) এর গুণফল কত,3,2,Eight
(x²+a)(x⁴-ax²+a²) এর গুণফল কত,x⁶+a³,(x²+a)(x⁴-ax²+a²) এর গুণফল কত,2,2,Eight
(7a+4b)(49a²-28ab+16b²) এর গুণফল কত,343a³+64b³,(7a+4b)(49a²-28ab+16b²) এর গুণফল কত,2,2,Eight
(2a-1)(4a²+2a+1)(8a³+1) এর গুণফল কত,64a⁶-1,(2a-1)(4a²+2a+1)(8a³+1) এর গুণফল কত,3,3,Eight
(x+a)(x²-ax+a²)(x-a)(x²+ax+a²) এর গুণফল কত,x⁶-a⁶,(x+a)(x²-ax+a²)(x-a)(x²+ax+a²) এর গুণফল কত,3,3,Eight
(5p-3q)(p+7q) কে দুইটি রাশির বর্গের অন্তররূপে প্রকাশ কর,{(6p+4q)/2}²-{(4p-10q)/2}²,(5p-3q)(p+7q) কে দুইটি রাশির বর্গের অন্তররূপে প্রকাশ কর,3,2,Eight
p²-8p-1=0 হলে p⁴-66p²+1=0 প্রমাণ কর,p-1/p=8 থেকে p²+1/p²=66 বা p⁴+1=66p² হয়,p²-8p-1=0 হলে p⁴-66p²+1=0 প্রমাণ কর,4,2,Eight
a+1/a=3 হলে (a²-1/a²)² এর মান কত,45,a+1/a=3 হলে (a²-1/a²)² এর মান কত,3,1,Eight
a³+8 এর উৎপাদকে বিশ্লেষণ কর,(a+2)(a²-2a+4),a³+8 এর উৎপাদকে বিশ্লেষণ কর,3,1,Eight
8x³+343 এর উৎপাদকে বিশ্লেষণ কর,(2x+7)(4x²-14x+49),8x³+343 এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
8a⁴+27ab³ এর উৎপাদকে বিশ্লেষণ কর,a(2a+3b)(4a²-6ab+9b²),8a⁴+27ab³ এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
8x³+1 এর উৎপাদকে বিশ্লেষণ কর,(2x+1)(4x²-2x+1),8x³+1 এর উৎপাদকে বিশ্লেষণ কর,3,1,Eight
64a³-125b³ এর উৎপাদকে বিশ্লেষণ কর,(4a-5b)(16a²+20ab+25b²),64a³-125b³ এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
729a³-64b³c⁶ এর উৎপাদকে বিশ্লেষণ কর,(9a-4bc²)(81a²+36abc²+16b²c⁴),729a³-64b³c⁶ এর উৎপাদকে বিশ্লেষণ কর,4,4,Eight
27a³b³+64b³c³ এর উৎপাদকে বিশ্লেষণ কর,b³(3a+4c)(9a²-12ac+16c²),27a³b³+64b³c³ এর উৎপাদকে বিশ্লেষণ কর,4,4,Eight
56x³-189y³ এর উৎপাদকে বিশ্লেষণ কর,7(2x-3y)(4x²+6xy+9y²),56x³-189y³ এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
3x-75x³ এর উৎপাদকে বিশ্লেষণ কর,3x(1+5x)(1-5x),3x-75x³ এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
36-12x+x² এর উৎপাদকে বিশ্লেষণ কর,(6-x)²,36-12x+x² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
x⁶-y⁶ এর উৎপাদকে বিশ্লেষণ কর,(x+y)(x-y)(x²-xy+y²)(x²+xy+y²),x⁶-y⁶ এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
(x-y)³+z³ এর উৎপাদকে বিশ্লেষণ কর,(x-y+z)(x²-2xy+y²-xz+yz+z²),(x-y)³+z³ এর উৎপাদকে বিশ্লেষণ কর,4,2,Eight
64x³-8y³ এর উৎপাদকে বিশ্লেষণ কর,8(2x-y)(4x²+2xy+y²),64x³-8y³ এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
x²+14x+40 এর উৎপাদকে বিশ্লেষণ কর,(x+10)(x+4),x²+14x+40 এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
x²-51x+650 এর উৎপাদকে বিশ্লেষণ কর,(x-26)(x-25),x²-51x+650 এর উৎপাদকে বিশ্লেষণ কর,3,3,Eight
p²+2pq-80q² এর উৎপাদকে বিশ্লেষণ কর,(p+10q)(p-8q),p²+2pq-80q² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
x²-3xy-40y² এর উৎপাদকে বিশ্লেষণ কর,(x-8y)(x+5y),x²-3xy-40y² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
(x²-x)²+3(x²-x)-40 এর উৎপাদকে বিশ্লেষণ কর,(x²-x+8)(x²-x-5),(x²-x)²+3(x²-x)-40 এর উৎপাদকে বিশ্লেষণ কর,4,2,Eight
(a²+b²)²-18(a²+b²)-88 এর উৎপাদকে বিশ্লেষণ কর,(a²+b²+4)(a²+b²-22),(a²+b²)²-18(a²+b²)-88 এর উৎপাদকে বিশ্লেষণ কর,4,2,Eight
ax²+(a²+1)x+a এর উৎপাদকে বিশ্লেষণ কর,(x+a)(ax+1),ax²+(a²+1)x+a এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
6x²-x-15 এর উৎপাদকে বিশ্লেষণ কর,(3x-5)(2x+3),6x²-x-15 এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
3x²-16x-12 এর উৎপাদকে বিশ্লেষণ কর,(x-6)(3x+2),3x²-16x-12 এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
2x²-9x-35 এর উৎপাদকে বিশ্লেষণ কর,(x-7)(2x+5),2x²-9x-35 এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
2x²-5xy+2y² এর উৎপাদকে বিশ্লেষণ কর,(x-2y)(2x-y),2x²-5xy+2y² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
x³-8(x-y)³ এর উৎপাদকে বিশ্লেষণ কর,(2y-x)(7x²-10xy+4y²),x³-8(x-y)³ এর উৎপাদকে বিশ্লেষণ কর,4,3,Eight
10p²+11pq-6q² এর উৎপাদকে বিশ্লেষণ কর,(2p+3q)(5p-2q),10p²+11pq-6q² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
2(x+y)²-3(x+y)-2 এর উৎপাদকে বিশ্লেষণ কর,(x+y-2)(2x+2y+1),2(x+y)²-3(x+y)-2 এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
15x²-11xy-12y² এর উৎপাদকে বিশ্লেষণ কর,(3x-4y)(5x+3y),15x²-11xy-12y² এর উৎপাদকে বিশ্লেষণ কর,3,2,Eight
a³-3a²b+3ab²-2b³ এর উৎপাদকে বিশ্লেষণ কর,(a-2b)(a²-ab+b²),a³-3a²b+3ab²-2b³ এর উৎপাদকে বিশ্লেষণ কর,4,2,Eight
36a²b²c ও 54a⁵c²d⁴ এর গ.সা.গু. কত,18a²c²,36a²b²c ও 54a⁵c²d⁴ এর গ.সা.গু. কত,3,2,Eight
20x³y²a³b⁴ ও 15x⁴y³a⁴b³ এর গ.সা.গু. কত,5x³y²a³b³,20x³y²a³b⁴ ও 15x⁴y³a⁴b³ এর গ.সা.গু. কত,3,2,Eight
15x²y³z⁴a³ ও 12x³y²z³a⁴ এর গ.সা.গু. কত,3x²y²z³a³,15x²y³z⁴a³ ও 12x³y²z³a⁴ এর গ.সা.গু. কত,3,2,Eight
x²-3x ও x²-9 এর গ.সা.গু. কত,x-3,x²-3x ও x²-9 এর গ.সা.গু. কত,3,2,Eight
18(x+y)³ ও 24(x+y)² এর গ.সা.গু. কত,6(x+y)²,18(x+y)³ ও 24(x+y)² এর গ.সা.গু. কত,3,2,Eight
